,usd_low,usd_high,usd_open,usd_open,usd_open,block_num,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks
,min,max,median,mean,first,,total,total,total,min,min,min,max,max,max,mean,mean,mean,median,median,median
week,,,,,,,,,,,,,,,,,,,,,
2020-12-07/2020-12-13,530.45,603.77,570.95,573.3942857142857,599.41,11441245.0,1944109.0,7261381.0,44560.0,381076.0,1008176.0,6299.0,453614.0,1062807.0,6463.0,409268.0,1037340.1428571428,6365.714285714285,403901.0,1034131.0,6365.0
2020-12-14/2020-12-20,576.06,676.29,630.0,622.2471428571428,591.71,11486825.0,2259354.0,7875518.0,44735.0,404928.0,1012779.0,6345.0,537210.0,1230638.0,6448.0,471393.4285714286,1125074.0,6390.714285714285,476619.0,1119867.0,6394.0
2020-12-21/2020-12-27,550.0,714.52,618.87,620.1928571428572,632.71,11532458.0,1920150.0,7606848.0,44696.0,401196.0,1064142.0,6299.0,457990.0,1173379.0,6455.0,419206.5714285714,1086692.5714285714,6385.142857142857,407740.0,1070581.0,6387.0
2020-12-28/2021-01-03,676.53,975.89,729.66,730.7328571428571,676.53,11578165.0,2099023.0,7839613.0,44779.0,424267.0,1071763.0,6301.0,494392.0,1169552.0,6498.0,451728.28571428574,1119944.7142857143,6397.0,451553.0,1121140.0,6400.0
2021-01-04/2021-01-10,891.24,1349.99,1180.68,1137.28,947.94,11623680.0,2509402.0,8238328.0,44688.0,509434.0,1137141.0,6307.0,574790.0,1203507.0,6468.0,534404.5714285715,1176904.0,6384.0,535609.0,1179930.0,6378.0
2021-01-11/2021-01-17,913.93,1290.89,1160.61,1155.8128571428572,1269.58,11669373.0,2349915.0,7767499.0,44729.0,460680.0,1049704.0,6278.0,517696.0,1182535.0,6444.0,486692.71428571426,1109642.7142857143,6389.857142857143,491592.0,1105006.0,6411.0
2021-01-18/2021-01-24,1043.42,1436.47,1247.98,1270.4857142857145,1262.97,11714974.0,2265715.0,7785296.0,44594.0,447545.0,1057792.0,6325.0,513836.0,1172718.0,6433.0,471909.5714285714,1112185.142857143,6370.571428571428,454550.0,1101630.0,6359.0
2021-01-25/2021-01-31,1210.05,1473.54,1352.0,1346.6399999999999,1352.0,11760302.0,2277639.0,7976693.0,44547.0,430702.0,1072240.0,6257.0,531949.0,1204394.0,6504.0,482998.4285714286,1139527.5714285714,6363.857142857143,480727.0,1131749.0,6368.0
2021-02-01/2021-02-07,1273.29,1762.0,1636.13,1554.1657142857143,1298.4,11805888.0,2441027.0,8428284.0,44542.0,504638.0,1163014.0,6334.0,552065.0,1231857.0,6400.0,522877.4285714286,1204040.5714285714,6363.142857142857,523457.0,1215758.0,6358.0
2021-02-08/2021-02-14,1569.98,1873.28,1769.0,1747.5728571428572,1599.33,11851387.0,2461420.0,8426301.0,44532.0,475886.0,1148351.0,6293.0,545126.0,1235204.0,6411.0,520950.4285714286,1203757.2857142857,6361.714285714285,528293.0,1200348.0,6358.0
